País,Observaciones,Especies
País de publicación:,1,1
País de publicación: AR,172,14
País de publicación: AT,7,6
País de publicación: AU,37,5
País de publicación: BE,18,4
País de publicación: BG,34,2
País de publicación: BR,239,107
País de publicación: CA,190,94
País de publicación: CH,696,247
País de publicación: CO,628591,22612
País de publicación: CZ,226,16
País de publicación: DE,281,165
País de publicación: DK,36,12
País de publicación: EE,4748,91
País de publicación: ES,635,154
País de publicación: FI,25,15
País de publicación: FR,1014,326
País de publicación: GB,1270,453
País de publicación: JP,61,26
País de publicación: KR,11,0
País de publicación: MX,484,275
País de publicación: NG,1,1
País de publicación: NL,4515,1184
País de publicación: NO,1,1
País de publicación: NZ,46,30
País de publicación: PL,7,4
País de publicación: PT,11,0
País de publicación: RU,1,1
País de publicación: SE,398,275
País de publicación: TW,19,8
País de publicación: US,26587,7387
País de publicación: ZZ,2087,190
