País,Organización,Observaciones,Especies
País de publicación: CO,eBird Colombia,1167059,926
País de publicación: CO,Naturalista Colombia,79924,4330
País de publicación: CO,Universidad Nacional de Colombia,79295,6982
País de publicación: CO,Instituto de Investigación de Recursos Biológicos Alexander von Humboldt,64540,4007
País de publicación: CO,Grupo Energía Bogotá,61111,295
País de publicación: CO,Fundación Humedales,26509,495
País de publicación: CO,Pontificia Universidad Javeriana,25024,1911
País de publicación: US,"National Museum of Natural History, Smithsonian Institution",20888,4439
País de publicación: CO,Ecopetrol S.A.,20712,818
País de publicación: CO,Red Nacional de Observadores de Aves - RNOA,17748,493
País de publicación: CO,Corpoguavio - Corporación Autónoma Regional del Guavio,16260,604
País de publicación: NL,University of Amsterdam / IBED,14552,660
País de publicación: US,Missouri Botanical Garden,11948,2736
País de publicación: CO,Asociación Colombiana de Zoología,8254,21
País de publicación: CO,Universidad de la Salle,8252,1667
País de publicación: CO,Fundación Ecotrópico de Colombia,7277,546
País de publicación: CO,"Jardín Botánico de Bogotá ""José Celestino Mutis""",5516,1565
País de publicación: CO,Enel Colombia,5013,101
País de publicación: US,The New York Botanical Garden,4543,1440
País de publicación: CO,Asociación Bogotana de Ornitología,4383,90
País de publicación: CO,CAR - Corporación Autónoma Regional de Cundinamarca,3380,152
País de publicación: CO,Universidad de los Andes,3276,453
País de publicación: CO,Parques Nacionales Naturales de Colombia,3259,141
País de publicación: NL,Xeno-canto Foundation for Nature Sounds,3005,410
País de publicación: US,Field Museum,2754,997
País de publicación: NL,Observation.org,2532,219
País de publicación: CO,Centro Internacional de Agricultura Tropical - CIAT,2392,152
País de publicación: CO,Universidad Distrital Francisco José de Caldas,2359,779
País de publicación: NL,Naturalis Biodiversity Center,2348,674
País de publicación: US,American Museum of Natural History,2212,251
País de publicación: CO,Cenit Transporte y Logística de Hidrocarburos S.A.S.,2120,623
País de publicación: US,Natural History Museum of Los Angeles County,2095,191
País de publicación: FR,Pl@ntNet,1766,367
País de publicación: CO,Instituto Nacional de Salud,1714,36
País de publicación: CO,Corporación Colombiana de Investigación Agropecuaria - AGROSAVIA,1687,198
País de publicación: CO,Instituto Amazónico de Investigaciones Científicas - SINCHI,1453,495
País de publicación: CO,Universidad de Antioquia,1445,640
País de publicación: US,Harvard University Herbaria,1248,373
País de publicación: US,"Museum of Comparative Zoology, Harvard University",1026,338
País de publicación: CA,Royal Ontario Museum,1008,168
País de publicación: US,University of Kansas Biodiversity Institute,988,56
País de publicación: US,North Carolina State University Insect Collection,942,56
País de publicación: GB,Natural History Museum,906,282
País de publicación: CO,Universidad de Caldas,853,522
País de publicación: CO,Fundación Natura Colombia,843,113
País de publicación: SE,Swedish Museum of Natural History,784,400
País de publicación: CH,Plazi.org taxonomic treatments database,782,208
País de publicación: US,"Museum of Biological Diversity, The Ohio State University",766,4
País de publicación: ZZ,The International Barcode of Life Consortium,750,118
País de publicación: ES,Real Jardín Botánico (CSIC),659,181
País de publicación: AT,"Haus der Natur Salzburg, Museum für Natur und Technik",642,126
País de publicación: US,Museum of Vertebrate Zoology,630,72
País de publicación: ZZ,Bioversity International,609,57
País de publicación: US,Texas A&M University Insect Collection,586,17
País de publicación: US,Academy of Natural Sciences,519,158
País de publicación: MX,Comisión nacional para el conocimiento y uso de la biodiversidad,512,325
País de publicación: US,California Academy of Sciences,446,192
País de publicación: CO,Universidad Industrial de Santander,442,165
País de publicación: DE,Botanic Garden and Botanical Museum Berlin,399,215
País de publicación: CO,Universidad de Ciencias Aplicadas y Ambientales U.D.C.A,392,80
País de publicación: US,"Walter Reed Biosystematics Unit, Smithsonian Institution",388,18
País de publicación: GB,European Nucleotide Archive (EMBL-EBI),379,67
País de publicación: US,Illinois Natural History Survey,367,11
País de publicación: FI,Finnish Biodiversity Information Facility,366,182
País de publicación: US,University of Michigan Herbarium,365,209
País de publicación: US,Carnegie Museums,350,273
País de publicación: US,Yale University Peabody Museum,345,34
País de publicación: US,University of Michigan Museum of Zoology,337,136
País de publicación: CO,Biotica Consultores Ltda,329,102
País de publicación: ES,"Dep. Biology, Univ. Autónoma de Madrid",300,13
País de publicación: CO,Universidad del Tolima,299,97
País de publicación: CO,TERRASOS,298,58
País de publicación: US,Florida Museum of Natural History,291,97
País de publicación: MX,"UNIBIO, IBUNAM",283,167
País de publicación: CH,Muséum d'histoire naturelle de la Ville de Genève - MHNG,267,18
País de publicación: US,Cornell University Museum of Vertebrates,259,148
País de publicación: CO,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca - INCIVA,256,49
País de publicación: CO,Universidad El Bosque,253,2
País de publicación: CO,GeoPark Colombia S.A.S,242,78
País de publicación: CO,Universidad de Nariño,233,157
País de publicación: CO,Universidad Pedagógica y Tecnológica de Colombia,223,45
País de publicación: CO,Aïgos SAS,218,80
País de publicación: CZ,Charles University - Herbarium collections & Department of Botany,217,9
