País,Organización,Observaciones,Especies
País de publicación: CO,eBird Colombia,347170,899
País de publicación: CO,Instituto de Investigación de Recursos Biológicos Alexander von Humboldt,103000,4543
País de publicación: CO,Universidad Pedagógica y Tecnológica de Colombia,76293,2734
País de publicación: CO,Universidad Nacional de Colombia,36982,4921
País de publicación: CO,Naturalista Colombia,12436,2699
País de publicación: CO,Red Nacional de Observadores de Aves - RNOA,8294,487
País de publicación: CO,Ecopetrol S.A.,7822,662
País de publicación: CO,Pontificia Universidad Javeriana,7351,629
País de publicación: US,"National Museum of Natural History, Smithsonian Institution",6742,2246
País de publicación: CO,Corpoboyacá - Corporación Autónoma Regional de Boyacá,6052,401
País de publicación: US,Missouri Botanical Garden,5914,1815
País de publicación: EE,PlutoF,4743,86
País de publicación: CO,Corpochivor - Corporación Autónoma Regional de Chivor,4202,229
País de publicación: CO,ABC Colombia Somos Territorio,3254,412
País de publicación: US,Natural History Museum of Los Angeles County,3230,70
País de publicación: US,Field Museum,2772,996
País de publicación: CO,Parques Nacionales Naturales de Colombia,2529,104
País de publicación: CO,Universidad de Antioquia,1924,621
País de publicación: US,The New York Botanical Garden,1823,847
País de publicación: NL,University of Amsterdam / IBED,1775,447
País de publicación: CO,Universidad Distrital Francisco José de Caldas,1701,530
País de publicación: NL,Naturalis Biodiversity Center,1304,377
País de publicación: US,"Museum of Biological Diversity, The Ohio State University",1255,11
País de publicación: US,University of Kansas Biodiversity Institute,1243,31
País de publicación: CO,Instituto Amazónico de Investigaciones Científicas - SINCHI,1229,626
País de publicación: NL,Xeno-canto Foundation for Nature Sounds,1209,290
País de publicación: CO,Centro Internacional de Agricultura Tropical - CIAT,1105,79
País de publicación: ZZ,Bioversity International,1080,36
País de publicación: ZZ,The International Barcode of Life Consortium,1007,154
País de publicación: GB,"Royal Botanic Gardens, Kew",964,339
País de publicación: CO,Universidad de la Salle,946,279
País de publicación: FR,Pl@ntNet,940,287
País de publicación: CO,Universidad Industrial de Santander,903,416
País de publicación: CO,Universidad de los Andes,827,176
País de publicación: CO,Instituto Nacional de Salud,585,35
País de publicación: CH,Plazi.org taxonomic treatments database,585,179
País de publicación: CO,Fundación Humedales,524,82
País de publicación: CO,"Jardín Botánico de Bogotá ""José Celestino Mutis""",448,269
País de publicación: CO,Geotec Ingenieria Ltda,435,61
País de publicación: ES,Real Jardín Botánico (CSIC),421,92
País de publicación: US,"Museum of Comparative Zoology, Harvard University",392,168
País de publicación: SE,Swedish Museum of Natural History,352,245
País de publicación: CO,Corporación Colombiana de Investigación Agropecuaria - AGROSAVIA,351,73
País de publicación: CO,Fundación Centro para la Investigación en Sistemas Sostenibles de Producción Agropecuaria - Cipav,349,2
País de publicación: US,Yale University Peabody Museum,332,31
País de publicación: US,American Museum of Natural History,277,51
País de publicación: US,Harvard University Herbaria,272,175
País de publicación: MX,Comisión nacional para el conocimiento y uso de la biodiversidad,271,158
País de publicación: US,Paleontological Research Institution,244,32
País de publicación: CO,Universidad El Bosque,229,-
País de publicación: DE,Botanic Garden and Botanical Museum Berlin,226,128
País de publicación: CZ,Charles University - Herbarium collections & Department of Botany,226,16
País de publicación: NL,Observation.org,216,65
País de publicación: MX,"UNIBIO, IBUNAM",213,117
País de publicación: CO,Universidad de Caldas,206,160
País de publicación: US,The University of Vermont Pringle Herbarium,189,103
País de publicación: US,Academy of Natural Sciences,186,78
País de publicación: GB,European Nucleotide Archive (EMBL-EBI),186,36
País de publicación: CO,Universidad de Nariño,181,105
País de publicación: US,Carnegie Museums,180,46
País de publicación: US,Paleobiology Database,172,54
País de publicación: CO,"Instituto de Hidrología, Meteorología y Estudios Ambientales de Colombia - Ideam",169,75
País de publicación: US,California Academy of Sciences,161,78
País de publicación: AR,Centro de Estudios Parasitológicos y de Vectores (CEPAVE),159,9
País de publicación: US,University of Michigan Herbarium,156,114
País de publicación: US,Florida Museum of Natural History,150,44
País de publicación: CA,Canadian Museum of Nature,127,71
País de publicación: CO,Fundación Jardín Botánico Joaquín Antonio Uribe de Medellín,116,57
País de publicación: GB,Natural History Museum,113,72
País de publicación: CO,Asociación Colombiana de Zoología,107,9
País de publicación: US,Consortium of Pacific Northwest Herbaria,107,21
País de publicación: ES,"Dep. Biology, Univ. Autónoma de Madrid",106,6
País de publicación: CH,Conservatoire et Jardin botaniques de la Ville de Genève - G,93,65
País de publicación: US,Museum of Vertebrate Zoology,93,52
País de publicación: CO,Universidad de la Amazonia,84,32
País de publicación: CO,Universidad del Valle,75,25
País de publicación: BR,Universidade Federal do Paraná,75,8
País de publicación: US,"University of Texas at Austin, Biodiversity Collections",75,32
País de publicación: CO,Universidad de Sucre,74,-
País de publicación: CO,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca - INCIVA,73,19
País de publicación: CO,Universidad del Magdalena,68,7
País de publicación: US,Auburn University Museum,63,1
País de publicación: ES,Institut Botànic de Barcelona (CSIC-CMCNB),62,49
País de publicación: CO,Universidad de los Llanos,61,17
País de publicación: JP,"National Museum of Nature and Science, Japan",59,24
País de publicación: CA,Royal Ontario Museum,58,21
País de publicación: CO,Universidad del Tolima,57,33
País de publicación: CO,CAR - Corporación Autónoma Regional de Cundinamarca,55,10
País de publicación: BR,Instituto de Pesquisas Jardim Botanico do Rio de Janeiro,52,32
País de publicación: BR,Museu Nacional / UFRJ,50,21
País de publicación: US,University of Connecticut,50,4
País de publicación: US,USF Water Institute,49,28
País de publicación: FR,MNHN - Museum national d'Histoire naturelle,48,29
País de publicación: NZ,Auckland War Memorial Museum,46,30
País de publicación: US,Duke University Herbarium,44,26
País de publicación: ES,Museu de Ciències Naturals de Barcelona,44,5
País de publicación: CO,Universidad Tecnológica del Chocó,43,6
País de publicación: US,University of Texas at El Paso Biodiversity Collections,41,11
País de publicación: US,"Walter Reed Biosystematics Unit, Smithsonian Institution",41,22
País de publicación: CO,CDMB - Corporación Autónoma Regional Para la Defensa de la Meseta de Bucaramanga,40,3
País de publicación: CO,Asociación SELVA: Investigación para la Conservación en el Neotrópico,36,5
País de publicación: BG,Biodiversity Data Journal,34,2
País de publicación: CO,Corporación Centro de Investigación en Palma de Aceite - CENIPALMA,30,1
País de publicación: US,University of Tennessee Herbarium,30,26
País de publicación: CO,Fundación Trópico Alto,29,15
